Datetime,Canopytemp
16/12/2015 0:05,20.81
16/12/2015 0:10,20.85
16/12/2015 0:15,20.82
16/12/2015 0:20,20.85
16/12/2015 0:25,20.98
16/12/2015 0:30,20.99
16/12/2015 0:35,21
16/12/2015 0:40,21.04
16/12/2015 0:45,21.05
16/12/2015 0:50,21.11
16/12/2015 0:55,21.16
16/12/2015 1:00,21.21
16/12/2015 1:05,21.24
16/12/2015 1:10,21.23
16/12/2015 1:15,21.24
16/12/2015 1:20,21.34
16/12/2015 1:25,21.41
16/12/2015 1:30,21.47
16/12/2015 1:35,21.52
16/12/2015 1:40,21.55
16/12/2015 1:45,21.64
16/12/2015 1:50,21.66
16/12/2015 1:55,21.65
16/12/2015 2:00,21.72
16/12/2015 2:05,21.8
16/12/2015 2:10,21.83
16/12/2015 2:15,21.89
16/12/2015 2:20,21.9
16/12/2015 2:25,21.93
16/12/2015 2:30,21.94
16/12/2015 2:35,21.81
16/12/2015 2:40,21.65
16/12/2015 2:45,21.71
16/12/2015 2:50,21.73
16/12/2015 2:55,21.67
16/12/2015 3:00,21.63
16/12/2015 3:05,21.5
16/12/2015 3:10,21.52
16/12/2015 3:15,21.54
16/12/2015 3:20,21.64
16/12/2015 3:25,21.55
16/12/2015 3:30,21.33
16/12/2015 3:35,21.15
16/12/2015 3:40,21.02
16/12/2015 3:45,20.92
16/12/2015 3:50,20.77
16/12/2015 3:55,20.72
16/12/2015 4:00,20.67
16/12/2015 4:05,20.53
16/12/2015 4:10,20.5
16/12/2015 4:15,20.47
16/12/2015 4:20,20.4
16/12/2015 4:25,20.32
16/12/2015 4:30,20.24
16/12/2015 4:35,20.17
16/12/2015 4:40,20.12
16/12/2015 4:45,20.18
16/12/2015 4:50,20.18
16/12/2015 4:55,20.14
16/12/2015 5:00,20.15
16/12/2015 5:05,20.04
16/12/2015 5:10,19.96
16/12/2015 5:15,19.84
16/12/2015 5:20,19.83
16/12/2015 5:25,19.85
16/12/2015 5:30,19.85
16/12/2015 5:35,19.81
16/12/2015 5:40,19.81
16/12/2015 5:45,19.78
16/12/2015 5:50,19.76
16/12/2015 5:55,19.74
16/12/2015 6:00,19.71
16/12/2015 6:05,19.68
16/12/2015 6:10,19.64
16/12/2015 6:15,19.69
16/12/2015 6:20,19.75
16/12/2015 6:25,19.85
16/12/2015 6:30,19.94
16/12/2015 6:35,20.06
16/12/2015 6:40,20.2
16/12/2015 6:45,20.28
16/12/2015 6:50,20.4
16/12/2015 6:55,20.58
16/12/2015 7:00,20.75
16/12/2015 7:05,20.9
16/12/2015 7:10,21.06
16/12/2015 7:15,21.25
16/12/2015 7:20,21.45
16/12/2015 7:25,21.67
16/12/2015 7:30,21.91
16/12/2015 7:35,22.18
16/12/2015 7:40,22.57
16/12/2015 7:45,22.84
16/12/2015 7:50,23.17
16/12/2015 7:55,23.55
16/12/2015 8:00,23.88
16/12/2015 8:05,24.12
16/12/2015 8:10,24.46
16/12/2015 8:15,24.8
16/12/2015 8:20,25.12
16/12/2015 8:25,25.7
16/12/2015 8:30,26.29
16/12/2015 8:35,27.06
16/12/2015 8:40,26.85
16/12/2015 8:45,27.05
16/12/2015 8:50,27.54
16/12/2015 8:55,27.99
16/12/2015 9:00,30.23
16/12/2015 9:05,31.33
16/12/2015 9:10,31.96
16/12/2015 9:15,32.32
16/12/2015 9:20,33.71
16/12/2015 9:25,34.35
16/12/2015 9:30,35.56
16/12/2015 9:35,36.76
16/12/2015 9:40,37.73
16/12/2015 9:45,38.61
16/12/2015 9:50,38.93
16/12/2015 9:55,39.95
16/12/2015 10:00,40.7
16/12/2015 10:05,41.82
16/12/2015 10:10,42.45
16/12/2015 10:15,43.1
16/12/2015 10:20,43.78
16/12/2015 10:25,43.84
16/12/2015 10:30,45.31
16/12/2015 10:35,45.23
16/12/2015 10:40,45.96
16/12/2015 10:45,45.63
16/12/2015 10:50,46.87
16/12/2015 10:55,47.51
16/12/2015 11:00,48.22
16/12/2015 11:05,47.67
16/12/2015 11:10,48.05
16/12/2015 11:15,49.15
16/12/2015 11:20,48.91
16/12/2015 11:30,50.41
16/12/2015 11:35,50.97
16/12/2015 11:40,51.23
16/12/2015 11:45,52.78
16/12/2015 11:50,52.19
16/12/2015 11:55,53.11
16/12/2015 12:00,54.44
16/12/2015 12:05,55.1
16/12/2015 12:10,53.77
16/12/2015 12:15,54.51
16/12/2015 12:20,54.51
16/12/2015 12:25,54.11
16/12/2015 12:30,55.08
16/12/2015 12:35,55.25
16/12/2015 12:40,55.84
16/12/2015 12:45,56.05
16/12/2015 12:50,55.31
16/12/2015 12:55,56.36
16/12/2015 13:00,55.86
16/12/2015 13:05,55.71
16/12/2015 13:10,56.48
16/12/2015 13:15,56.66
16/12/2015 13:20,57.51
16/12/2015 13:25,56.4
16/12/2015 13:30,56.98
16/12/2015 13:35,57.2
16/12/2015 13:40,56.6
16/12/2015 13:45,55.65
16/12/2015 13:50,56.31
16/12/2015 13:55,56.92
16/12/2015 14:00,55.67
16/12/2015 14:05,54.47
16/12/2015 14:10,55.41
16/12/2015 14:15,57.26
16/12/2015 14:20,56.6
16/12/2015 14:25,56.5
16/12/2015 14:30,52.67
16/12/2015 14:35,49.41
16/12/2015 14:40,54.6
16/12/2015 14:45,55.53
16/12/2015 14:50,56.63
16/12/2015 14:55,56.27
16/12/2015 15:00,54.93
16/12/2015 15:05,56.48
16/12/2015 15:10,55.28
16/12/2015 15:15,53.07
16/12/2015 15:20,53.72
16/12/2015 15:25,54.47
16/12/2015 15:30,55.5
16/12/2015 15:35,55.78
16/12/2015 15:40,55.17
16/12/2015 15:45,54.13
16/12/2015 15:50,54.12
