Datetime,Canopytemp
22/12/2015  08:45,29.48
22/12/2015  08:50,30.03
22/12/2015  08:55,30.30
22/12/2015  09:00,30.80
22/12/2015  09:05,30.69
22/12/2015  09:10,32.57
22/12/2015  09:15,32.69
22/12/2015  09:20,30.97
22/12/2015  09:25,30.63
22/12/2015  09:30,31.68
22/12/2015  09:35,33.83
22/12/2015  09:40,31.52
22/12/2015  09:45,33.14
22/12/2015  09:50,33.31
22/12/2015  09:55,34.07
22/12/2015  10:00,30.75
22/12/2015  10:05,30.99
22/12/2015  10:10,31.57
22/12/2015  10:15,31.49
22/12/2015  10:20,31.84
22/12/2015  10:25,32.82
22/12/2015  10:30,33.77
22/12/2015  10:35,31.68
22/12/2015  10:40,31.40
22/12/2015  10:45,30.54
22/12/2015  10:50,33.15
22/12/2015  10:55,33.75
22/12/2015  11:00,33.61
22/12/2015  11:05,34.29
22/12/2015  11:10,34.80
22/12/2015  11:15,34.32
22/12/2015  11:20,33.74
22/12/2015  11:25,33.23
22/12/2015  11:30,32.77
22/12/2015  11:35,32.00
22/12/2015  11:40,32.33
22/12/2015  11:45,32.44
22/12/2015  11:50,32.19
22/12/2015  11:55,32.50
22/12/2015  12:00,33.49
22/12/2015  12:05,33.15
22/12/2015  12:10,36.67
22/12/2015  12:15,35.94
22/12/2015  12:20,36.57
22/12/2015  12:25,35.33
22/12/2015  12:30,37.24
22/12/2015  12:35,34.98
22/12/2015  12:40,37.14
22/12/2015  12:45,35.46
22/12/2015  12:50,36.89
22/12/2015  12:55,38.06
22/12/2015  13:00,36.61
22/12/2015  13:05,35.53
22/12/2015  13:10,35.08
22/12/2015  13:15,34.53
22/12/2015  13:20,33.95
22/12/2015  13:25,34.98
22/12/2015  13:30,34.34
22/12/2015  13:35,34.09
22/12/2015  13:40,34.34
22/12/2015  13:45,34.51
22/12/2015  13:50,34.38
22/12/2015  13:55,33.23
22/12/2015  14:00,32.56
22/12/2015  14:05,32.30
22/12/2015  14:10,32.28
22/12/2015  14:15,31.82
22/12/2015  14:20,31.12
22/12/2015  14:25,30.94
22/12/2015  14:30,30.50
22/12/2015  14:35,30.45
22/12/2015  14:40,30.01
22/12/2015  14:45,30.07
22/12/2015  14:50,29.80
22/12/2015  14:55,29.72
22/12/2015  15:00,28.01
22/12/2015  15:05,26.29
22/12/2015  15:10,24.26
22/12/2015  15:15,23.65
22/12/2015  15:20,22.75
22/12/2015  15:25,22.42
22/12/2015  15:30,22.53
22/12/2015  15:35,22.40
22/12/2015  15:40,22.46
22/12/2015  15:45,23.07
22/12/2015  15:50,23.11
22/12/2015  15:55,23.24
22/12/2015  16:00,22.52
22/12/2015  16:05,22.39
22/12/2015  16:10,21.83
22/12/2015  16:15,21.74
22/12/2015  16:20,22.39
22/12/2015  16:25,22.44
22/12/2015  16:30,22.19
22/12/2015  16:35,22.53
22/12/2015  16:40,23.06
22/12/2015  16:45,22.48
22/12/2015  16:50,22.45
22/12/2015  16:55,22.74
22/12/2015  17:00,22.66
22/12/2015  17:05,22.51
22/12/2015  17:10,22.51
22/12/2015  17:15,22.56
22/12/2015  17:20,22.45
22/12/2015  17:25,22.59
22/12/2015  17:30,22.96
22/12/2015  17:35,23.71
22/12/2015  17:40,23.58
22/12/2015  17:45,23.26
22/12/2015  17:50,23.10
22/12/2015  17:55,22.83
22/12/2015  18:00,22.68
22/12/2015  18:05,22.87
22/12/2015  18:10,22.88
22/12/2015  18:15,22.48
22/12/2015  18:20,22.40
22/12/2015  18:25,22.38
22/12/2015  18:30,22.17
22/12/2015  18:35,22.10
22/12/2015  18:40,22.08
22/12/2015  18:45,21.98
22/12/2015  18:50,21.93
22/12/2015  18:55,21.86
22/12/2015  19:00,21.86
22/12/2015  19:05,21.83
22/12/2015  19:10,21.88
22/12/2015  19:15,21.68
22/12/2015  19:20,21.61
22/12/2015  19:25,21.47
22/12/2015  19:30,21.41
22/12/2015  19:35,21.13
22/12/2015  19:40,21.13
22/12/2015  19:45,20.97
22/12/2015  19:50,20.92
22/12/2015  19:55,20.82
22/12/2015  20:00,20.78
22/12/2015  20:05,20.65
22/12/2015  20:10,20.36
22/12/2015  20:15,19.96
22/12/2015  20:20,20.02
22/12/2015  20:25,20.14
22/12/2015  20:30,20.24
22/12/2015  20:35,20.21
22/12/2015  20:40,20.25
22/12/2015  20:45,20.31
22/12/2015  20:50,20.41
22/12/2015  21:00,20.29
22/12/2015  21:05,20.28
22/12/2015  21:10,20.19
22/12/2015  21:15,20.16
