Datetime,Canopytemp
22/12/2015  08:45,30.27
22/12/2015  08:50,30.59
22/12/2015  08:55,30.44
22/12/2015  09:00,30.65
22/12/2015  09:05,31.81
22/12/2015  09:10,33.58
22/12/2015  09:15,34.16
22/12/2015  09:20,33.18
22/12/2015  09:25,32.59
22/12/2015  09:30,33.10
22/12/2015  09:35,35.93
22/12/2015  09:40,34.13
22/12/2015  09:45,35.48
22/12/2015  09:50,36.28
22/12/2015  09:55,35.09
22/12/2015  10:00,34.76
22/12/2015  10:05,30.96
22/12/2015  10:10,32.06
22/12/2015  10:15,31.70
22/12/2015  10:20,32.08
22/12/2015  10:25,32.70
22/12/2015  10:30,33.86
22/12/2015  10:35,32.35
22/12/2015  10:40,32.09
22/12/2015  10:45,30.27
22/12/2015  10:50,32.54
22/12/2015  10:55,33.14
22/12/2015  11:00,33.47
22/12/2015  11:05,34.00
22/12/2015  11:10,34.27
22/12/2015  11:15,34.46
22/12/2015  11:20,33.46
22/12/2015  11:25,32.90
22/12/2015  11:30,32.35
22/12/2015  11:35,31.88
22/12/2015  11:40,31.48
22/12/2015  11:45,32.22
22/12/2015  11:50,31.97
22/12/2015  11:55,32.12
22/12/2015  12:00,33.32
22/12/2015  12:05,33.89
22/12/2015  12:10,36.61
22/12/2015  12:15,36.05
22/12/2015  12:20,36.49
22/12/2015  12:25,35.77
22/12/2015  12:30,37.06
22/12/2015  12:35,35.36
22/12/2015  12:40,36.96
22/12/2015  12:45,35.44
22/12/2015  12:50,36.73
22/12/2015  12:55,38.23
22/12/2015  13:00,37.44
22/12/2015  13:05,35.74
22/12/2015  13:10,35.43
22/12/2015  13:15,34.48
22/12/2015  13:20,34.10
22/12/2015  13:25,34.99
22/12/2015  13:30,34.35
22/12/2015  13:35,34.10
22/12/2015  13:40,34.61
22/12/2015  13:45,34.56
22/12/2015  13:50,35.00
22/12/2015  13:55,33.61
22/12/2015  14:00,32.91
22/12/2015  14:05,32.31
22/12/2015  14:10,32.18
22/12/2015  14:15,31.99
22/12/2015  14:20,31.34
22/12/2015  14:25,30.91
22/12/2015  14:30,30.62
22/12/2015  14:35,30.33
22/12/2015  14:40,29.90
22/12/2015  14:45,30.25
22/12/2015  14:50,29.57
22/12/2015  14:55,29.68
22/12/2015  15:00,29.02
22/12/2015  15:05,27.61
22/12/2015  15:10,25.95
22/12/2015  15:15,24.91
22/12/2015  15:20,23.69
22/12/2015  15:25,23.24
22/12/2015  15:30,23.18
22/12/2015  15:35,23.11
22/12/2015  15:40,23.20
22/12/2015  15:45,23.65
22/12/2015  15:50,23.97
22/12/2015  15:55,23.93
22/12/2015  16:00,23.15
22/12/2015  16:05,22.88
22/12/2015  16:10,22.35
22/12/2015  16:15,22.41
22/12/2015  16:20,22.90
22/12/2015  16:25,22.95
22/12/2015  16:30,22.60
22/12/2015  16:35,22.99
22/12/2015  16:40,23.54
22/12/2015  16:45,23.22
22/12/2015  16:50,23.00
22/12/2015  16:55,23.09
22/12/2015  17:00,23.12
22/12/2015  17:05,22.94
22/12/2015  17:10,22.93
22/12/2015  17:15,22.93
22/12/2015  17:20,22.95
22/12/2015  17:30,23.22
22/12/2015  17:35,24.03
22/12/2015  17:40,23.89
22/12/2015  17:45,23.64
22/12/2015  17:50,23.47
22/12/2015  17:55,23.18
22/12/2015  18:00,23.00
22/12/2015  18:05,23.25
22/12/2015  18:10,23.17
22/12/2015  18:15,22.79
22/12/2015  18:20,22.64
22/12/2015  18:30,22.47
22/12/2015  18:35,22.35
22/12/2015  18:40,22.29
22/12/2015  18:45,22.19
22/12/2015  18:50,22.13
22/12/2015  18:55,22.14
22/12/2015  19:00,22.02
22/12/2015  19:05,21.97
22/12/2015  19:10,22.09
22/12/2015  19:15,21.85
22/12/2015  19:20,21.77
22/12/2015  19:25,21.64
22/12/2015  19:30,21.55
22/12/2015  19:35,21.43
22/12/2015  19:40,21.28
22/12/2015  19:45,21.08
22/12/2015  19:50,21.12
22/12/2015  19:55,20.94
22/12/2015  20:00,20.93
22/12/2015  20:05,20.83
22/12/2015  20:10,20.50
22/12/2015  20:15,20.13
22/12/2015  20:20,20.30
22/12/2015  20:25,20.39
22/12/2015  20:30,20.44
22/12/2015  20:35,20.43
22/12/2015  20:40,20.46
22/12/2015  20:45,20.50
22/12/2015  20:50,20.58
22/12/2015  20:55,20.54
22/12/2015  21:00,20.52
22/12/2015  21:05,20.48
22/12/2015  21:15,20.43
22/12/2015  21:20,20.40
22/12/2015  21:25,20.37
22/12/2015  21:30,20.41
22/12/2015  21:35,20.41
22/12/2015  21:40,20.39
22/12/2015  21:45,20.48
22/12/2015  21:50,20.45
22/12/2015  21:55,20.33
22/12/2015  22:00,20.35
22/12/2015  22:05,20.25
22/12/2015  22:10,20.21
22/12/2015  22:15,20.25
22/12/2015  22:20,20.29
22/12/2015  22:25,20.35
22/12/2015  22:30,20.32
22/12/2015  22:35,20.37
22/12/2015  22:40,20.33
22/12/2015  22:45,20.15
22/12/2015  22:50,20.18
22/12/2015  22:55,20.21
22/12/2015  23:00,20.28
22/12/2015  23:05,20.30
22/12/2015  23:10,20.36
22/12/2015  23:15,20.28
22/12/2015  23:20,20.29
22/12/2015  23:25,20.31
22/12/2015  23:30,20.19
22/12/2015  23:35,20.20
22/12/2015  23:40,20.12
22/12/2015  23:45,20.09
22/12/2015  23:50,20.09
22/12/2015  23:55,20.04
23/12/2015  00:00,20.08
23/12/2015  00:05,20.03
23/12/2015  00:10,19.89
23/12/2015  00:15,19.84
23/12/2015  00:20,19.90
23/12/2015  00:25,20.00
23/12/2015  00:30,20.10
23/12/2015  00:35,20.22
23/12/2015  00:40,20.23
23/12/2015  00:45,20.25
23/12/2015  00:50,20.29
23/12/2015  00:55,20.40
23/12/2015  01:00,20.31
23/12/2015  01:05,20.21
23/12/2015  01:10,20.27
23/12/2015  01:15,20.27
23/12/2015  01:20,20.26
23/12/2015  01:30,20.15
23/12/2015  01:35,20.24
23/12/2015  01:40,20.21
23/12/2015  01:45,20.26
23/12/2015  01:50,20.25
23/12/2015  01:55,20.34
23/12/2015  02:00,20.37
23/12/2015  02:05,20.41
23/12/2015  02:10,20.38
23/12/2015  02:15,20.35
23/12/2015  02:20,20.38
23/12/2015  02:25,20.40
23/12/2015  02:30,20.39
23/12/2015  02:35,20.40
23/12/2015  02:40,20.41
23/12/2015  02:45,20.31
23/12/2015  02:50,20.24
23/12/2015  02:55,20.23
23/12/2015  03:00,20.29
23/12/2015  03:05,20.31
23/12/2015  03:10,20.33
23/12/2015  03:15,20.24
23/12/2015  03:20,20.26
23/12/2015  03:25,20.25
23/12/2015  03:30,20.18
23/12/2015  03:35,20.18
23/12/2015  03:40,20.21
23/12/2015  03:45,20.18
23/12/2015  03:50,20.14
23/12/2015  03:55,20.12
23/12/2015  04:00,20.07
23/12/2015  04:05,20.03
23/12/2015  04:10,20.00
23/12/2015  04:15,19.84
23/12/2015  04:20,19.95
23/12/2015  04:25,19.97
23/12/2015  04:30,19.78
23/12/2015  04:35,19.83
23/12/2015  04:40,19.82
23/12/2015  04:45,19.81
23/12/2015  04:50,19.79
23/12/2015  04:55,19.86
23/12/2015  05:00,19.80
23/12/2015  05:05,19.80
23/12/2015  05:10,19.68
23/12/2015  05:15,19.77
23/12/2015  05:20,19.73
23/12/2015  05:25,19.64
23/12/2015  05:30,19.68
23/12/2015  05:35,19.54
23/12/2015  05:40,19.45
23/12/2015  05:45,19.36
23/12/2015  05:50,19.36
23/12/2015  05:55,19.24
23/12/2015  06:00,19.23
23/12/2015  06:05,19.22
23/12/2015  06:10,19.29
23/12/2015  06:15,19.23
23/12/2015  06:20,19.34
23/12/2015  06:25,19.50
23/12/2015  06:30,19.52
23/12/2015  06:35,19.43
23/12/2015  06:40,19.18
23/12/2015  06:45,19.07
23/12/2015  06:50,19.10
23/12/2015  06:55,19.11
23/12/2015  07:00,19.24
23/12/2015  07:05,19.34
23/12/2015  07:10,19.78
23/12/2015  07:15,19.52
23/12/2015  07:20,20.46
23/12/2015  07:30,21.48
