Datetime,Canopytemp
20/12/2015 9:40,25.55
20/12/2015 9:45,25.64
20/12/2015 9:50,32.82
20/12/2015 9:55,32.69
20/12/2015 10:00,33.35
20/12/2015 10:05,34.21
20/12/2015 10:10,35.17
20/12/2015 10:15,35.42
20/12/2015 10:20,36.27
20/12/2015 10:25,36.27
20/12/2015 10:30,36.12
20/12/2015 10:35,35.96
20/12/2015 10:40,36.12
20/12/2015 10:45,37.07
20/12/2015 10:50,38.09
20/12/2015 10:55,38.22
20/12/2015 11:00,38.49
20/12/2015 11:05,38.85
20/12/2015 11:10,38.95
20/12/2015 11:15,38.83
20/12/2015 11:25,39.98
20/12/2015 11:30,39.84
20/12/2015 11:35,40.23
20/12/2015 11:40,40.7
20/12/2015 11:45,40.95
20/12/2015 11:50,41.29
20/12/2015 11:55,41.9
20/12/2015 12:00,41.95
20/12/2015 12:05,41.99
20/12/2015 12:10,42.57
20/12/2015 12:15,43.17
20/12/2015 12:20,44.1
20/12/2015 12:25,43.65
20/12/2015 12:30,44.29
20/12/2015 12:35,44.5
20/12/2015 12:40,45.14
20/12/2015 12:45,45.32
20/12/2015 12:50,45.28
20/12/2015 12:55,45.59
20/12/2015 13:00,46.2
20/12/2015 13:05,46.37
20/12/2015 13:10,46.11
20/12/2015 13:15,47.22
20/12/2015 13:20,47.03
20/12/2015 13:25,46.8
20/12/2015 13:30,47.74
20/12/2015 13:35,47.19
20/12/2015 13:40,48.23
20/12/2015 13:45,47.93
20/12/2015 13:50,48.6
20/12/2015 13:55,48.63
20/12/2015 14:00,48.5
20/12/2015 14:05,48.09
20/12/2015 14:10,49.48
20/12/2015 14:15,48.98
20/12/2015 14:20,48.55
20/12/2015 14:25,48.12
20/12/2015 14:30,49.13
20/12/2015 14:35,49.89
20/12/2015 14:40,50.6
20/12/2015 14:45,49.89
20/12/2015 14:50,49.2
20/12/2015 14:55,49.67
20/12/2015 15:00,49.5
20/12/2015 15:05,49.58
20/12/2015 15:10,49.11
20/12/2015 15:15,48.96
20/12/2015 15:20,49.07
20/12/2015 15:25,49.47
20/12/2015 15:30,49.09
20/12/2015 15:35,48.64
20/12/2015 15:40,48.89
20/12/2015 15:45,49.06
20/12/2015 15:50,47.75
20/12/2015 15:55,48.12
20/12/2015 16:00,47.65
20/12/2015 16:05,47.59
20/12/2015 16:10,47.47
20/12/2015 16:15,47.24
20/12/2015 16:20,44.98
20/12/2015 16:25,46.07
20/12/2015 16:30,45.17
20/12/2015 16:35,45.09
20/12/2015 16:40,45.33
20/12/2015 16:45,45.87
20/12/2015 16:50,45.48
20/12/2015 16:55,44.93
20/12/2015 17:00,45.39
20/12/2015 17:05,44.73
20/12/2015 17:10,44.74
20/12/2015 17:15,44.17
20/12/2015 17:20,44.04
20/12/2015 17:25,43.81
20/12/2015 17:30,43.79
20/12/2015 17:35,43.29
20/12/2015 17:40,43.69
20/12/2015 17:45,42.98
20/12/2015 18:10,41.44
20/12/2015 18:15,40.69
20/12/2015 18:20,40.4
20/12/2015 18:25,40.07
20/12/2015 18:30,39.7
20/12/2015 18:35,39.11
20/12/2015 18:40,38.36
20/12/2015 18:45,36.99
20/12/2015 18:55,34.76
20/12/2015 19:00,34.06
20/12/2015 19:05,33.45
20/12/2015 19:10,32.91
20/12/2015 19:15,32.38
20/12/2015 19:20,31.95
20/12/2015 19:25,31.74
20/12/2015 19:30,31.24
20/12/2015 19:35,30.78
20/12/2015 19:40,30.68
20/12/2015 19:45,30.36
20/12/2015 19:50,30.07
20/12/2015 19:55,29.54
20/12/2015 20:00,29.08
20/12/2015 20:05,28.71
20/12/2015 20:10,28.22
20/12/2015 20:15,27.83
20/12/2015 20:20,27.66
20/12/2015 20:25,27.41
20/12/2015 20:30,27.13
20/12/2015 20:35,26.7
20/12/2015 20:40,26.35
20/12/2015 20:45,25.96
20/12/2015 20:55,25.48
20/12/2015 21:00,25.22
20/12/2015 21:05,25.05
20/12/2015 21:10,24.9
20/12/2015 21:15,24.75
20/12/2015 21:20,24.61
20/12/2015 21:25,24.41
20/12/2015 21:30,24.25
20/12/2015 21:35,24.14
20/12/2015 21:40,23.89
20/12/2015 21:45,23.82
20/12/2015 21:50,23.84
20/12/2015 21:55,23.89
20/12/2015 22:00,23.97
20/12/2015 22:05,24.13
20/12/2015 22:10,24.32
20/12/2015 22:15,24.39
20/12/2015 22:20,24.51
20/12/2015 22:25,24.28
20/12/2015 22:30,24.15
20/12/2015 22:35,23.77
20/12/2015 22:40,23.64
20/12/2015 22:45,23.2
20/12/2015 22:50,22.88
20/12/2015 22:55,22.6
20/12/2015 23:00,22.32
20/12/2015 23:05,22.17
20/12/2015 23:10,21.97
20/12/2015 23:15,21.75
20/12/2015 23:20,21.66
20/12/2015 23:25,21.71
20/12/2015 23:30,21.66
20/12/2015 23:35,21.57
20/12/2015 23:40,21.73
20/12/2015 23:45,21.97
20/12/2015 23:50,21.73
20/12/2015 23:55,21.37
21/12/2015 0:00,21.36
21/12/2015 0:05,21.43
21/12/2015 0:10,21.62
21/12/2015 0:15,21.51
21/12/2015 0:25,21.51
21/12/2015 0:30,21.6
