Datetime,Canopytemp
22/12/2015  09:50,32.19
22/12/2015  09:55,32.53
22/12/2015  10:00,33.03
22/12/2015  10:05,33.02
22/12/2015  10:10,33.51
22/12/2015  10:15,34.16
22/12/2015  10:20,34.53
22/12/2015  10:25,35.36
22/12/2015  10:30,36.37
22/12/2015  10:35,35.33
22/12/2015  10:40,34.35
22/12/2015  10:45,33.59
22/12/2015  10:50,36.39
22/12/2015  10:55,36.55
22/12/2015  11:00,36.82
22/12/2015  11:05,37.54
22/12/2015  11:10,37.67
22/12/2015  11:15,37.39
22/12/2015  11:20,36.55
22/12/2015  11:25,36.07
22/12/2015  11:30,35.22
22/12/2015  11:35,34.61
22/12/2015  11:40,34.64
22/12/2015  11:45,33.96
22/12/2015  11:50,33.83
22/12/2015  11:55,33.98
22/12/2015  12:00,34.54
22/12/2015  12:05,34.82
22/12/2015  12:15,36.58
22/12/2015  12:20,36.80
22/12/2015  12:25,35.77
22/12/2015  12:30,36.49
22/12/2015  12:35,35.19
22/12/2015  12:40,34.50
22/12/2015  12:45,33.84
22/12/2015  12:50,34.74
22/12/2015  13:00,35.07
22/12/2015  13:05,33.38
22/12/2015  13:10,33.75
22/12/2015  13:15,33.30
22/12/2015  13:20,32.27
22/12/2015  13:25,32.78
22/12/2015  13:30,32.29
22/12/2015  13:35,32.14
22/12/2015  13:40,31.84
22/12/2015  13:45,32.16
22/12/2015  13:50,32.05
22/12/2015  13:55,31.74
22/12/2015  14:00,30.90
22/12/2015  14:05,30.15
22/12/2015  14:10,30.77
22/12/2015  14:15,29.84
22/12/2015  14:20,29.75
22/12/2015  14:25,29.40
22/12/2015  14:30,29.35
22/12/2015  14:35,28.76
22/12/2015  14:40,28.56
22/12/2015  14:45,28.53
22/12/2015  14:50,28.29
22/12/2015  15:00,26.91
22/12/2015  15:05,25.92
22/12/2015  15:10,24.59
22/12/2015  15:15,23.97
22/12/2015  15:20,23.34
22/12/2015  15:25,23.18
22/12/2015  15:30,23.22
22/12/2015  15:35,23.16
22/12/2015  15:40,23.32
22/12/2015  15:45,23.63
22/12/2015  15:50,23.97
22/12/2015  15:55,23.98
22/12/2015  16:00,23.57
22/12/2015  16:05,23.30
22/12/2015  16:10,22.99
22/12/2015  16:15,22.72
22/12/2015  16:20,23.09
22/12/2015  16:25,23.00
22/12/2015  16:30,23.04
22/12/2015  16:35,23.26
22/12/2015  16:40,23.58
22/12/2015  16:45,23.51
22/12/2015  16:50,23.33
22/12/2015  16:55,23.44
22/12/2015  17:00,23.38
22/12/2015  17:05,23.35
22/12/2015  17:10,23.26
22/12/2015  17:15,23.26
22/12/2015  17:20,23.26
22/12/2015  17:25,23.34
22/12/2015  17:30,23.61
22/12/2015  17:35,24.16
22/12/2015  17:40,24.06
22/12/2015  17:45,23.96
22/12/2015  17:50,23.97
22/12/2015  17:55,23.67
22/12/2015  18:00,23.48
22/12/2015  18:05,23.37
22/12/2015  18:10,23.55
22/12/2015  18:15,23.12
22/12/2015  18:20,22.98
22/12/2015  18:25,22.85
22/12/2015  18:30,22.76
22/12/2015  18:35,22.64
22/12/2015  18:40,22.47
22/12/2015  18:45,22.30
22/12/2015  18:50,22.22
22/12/2015  19:00,22.06
22/12/2015  19:05,22.07
22/12/2015  19:10,22.10
22/12/2015  19:15,21.92
22/12/2015  19:20,21.75
22/12/2015  19:25,21.68
22/12/2015  19:30,21.53
22/12/2015  19:35,21.42
22/12/2015  19:40,21.30
22/12/2015  19:45,21.12
22/12/2015  19:50,21.10
22/12/2015  19:55,20.98
22/12/2015  20:00,20.90
22/12/2015  20:05,20.79
22/12/2015  20:10,20.63
22/12/2015  20:15,20.50
22/12/2015  20:20,20.45
22/12/2015  20:25,20.47
22/12/2015  20:30,20.50
22/12/2015  20:35,20.47
22/12/2015  20:40,20.46
22/12/2015  20:45,20.48
22/12/2015  20:50,20.48
22/12/2015  20:55,20.45
22/12/2015  21:00,20.46
22/12/2015  21:05,20.40
22/12/2015  21:10,20.36
22/12/2015  21:15,20.33
22/12/2015  21:20,20.33
22/12/2015  21:25,20.31
22/12/2015  21:30,20.30
22/12/2015  21:35,20.31
22/12/2015  21:40,20.32
22/12/2015  21:45,20.32
22/12/2015  21:50,20.32
22/12/2015  21:55,20.28
22/12/2015  22:00,20.28
22/12/2015  22:05,20.22
22/12/2015  22:10,20.20
22/12/2015  22:15,20.19
22/12/2015  22:20,20.23
22/12/2015  22:25,20.27
22/12/2015  22:30,20.24
22/12/2015  22:35,20.27
22/12/2015  22:40,20.26
22/12/2015  22:45,20.21
22/12/2015  22:50,20.20
22/12/2015  22:55,20.17
22/12/2015  23:00,20.24
22/12/2015  23:05,20.23
22/12/2015  23:10,20.23
22/12/2015  23:15,20.27
22/12/2015  23:20,20.21
22/12/2015  23:25,20.21
22/12/2015  23:30,20.21
22/12/2015  23:35,20.15
22/12/2015  23:40,20.10
22/12/2015  23:45,20.10
22/12/2015  23:50,20.08
22/12/2015  23:55,20.06
23/12/2015  00:00,20.04
23/12/2015  00:05,20.00
23/12/2015  00:10,19.92
23/12/2015  00:15,19.92
23/12/2015  00:20,19.92
23/12/2015  00:25,19.95
23/12/2015  00:30,20.03
23/12/2015  00:35,20.08
23/12/2015  00:40,20.10
23/12/2015  00:50,20.15
23/12/2015  00:55,20.20
23/12/2015  01:00,20.20
23/12/2015  01:05,20.21
23/12/2015  01:10,20.24
23/12/2015  01:15,20.24
23/12/2015  01:20,20.20
23/12/2015  01:30,20.18
23/12/2015  01:35,20.21
23/12/2015  01:40,20.20
23/12/2015  01:45,20.20
23/12/2015  01:50,20.20
23/12/2015  01:55,20.22
23/12/2015  02:00,20.25
23/12/2015  02:05,20.29
23/12/2015  02:10,20.31
23/12/2015  02:15,20.31
23/12/2015  02:20,20.34
23/12/2015  02:25,20.31
23/12/2015  02:30,20.34
23/12/2015  02:35,20.30
23/12/2015  02:40,20.28
23/12/2015  02:45,20.28
23/12/2015  02:50,20.24
23/12/2015  02:55,20.28
