,Canopytemp
Datetime,
22/12/2015 9:55,35.65
22/12/2015 10:00,34.98
22/12/2015 10:05,34.44
22/12/2015 10:10,33.97
22/12/2015 10:15,34.36
22/12/2015 10:20,33.87
22/12/2015 10:25,33.85
22/12/2015 10:30,34.69
22/12/2015 10:35,33.07
22/12/2015 10:40,31.19
22/12/2015 10:45,30.5
22/12/2015 10:50,32.68
22/12/2015 10:55,32.66
22/12/2015 11:00,32.49
22/12/2015 11:05,32.83
22/12/2015 11:10,32.65
22/12/2015 11:15,32.61
22/12/2015 11:20,31.6
22/12/2015 11:25,31.37
22/12/2015 11:30,30.74
22/12/2015 11:35,30.18
22/12/2015 11:40,30.43
22/12/2015 11:45,29.83
22/12/2015 11:50,28.71
22/12/2015 11:55,28.3
22/12/2015 12:00,28.83
22/12/2015 12:05,29.11
22/12/2015 12:15,30.18
22/12/2015 12:20,29.84
22/12/2015 12:30,30.25
22/12/2015 12:35,29.07
22/12/2015 12:40,29.08
22/12/2015 12:45,28.72
22/12/2015 12:50,29.79
22/12/2015 12:55,30.29
22/12/2015 13:00,30.12
22/12/2015 13:05,28.74
22/12/2015 13:10,29.06
22/12/2015 13:15,28.52
22/12/2015 13:20,28.13
22/12/2015 13:25,28.85
22/12/2015 13:30,28.5
22/12/2015 13:35,28.55
22/12/2015 13:40,28.53
22/12/2015 13:45,28.88
22/12/2015 13:50,29.24
22/12/2015 14:00,28.6
22/12/2015 14:05,28.05
22/12/2015 14:15,28.15
22/12/2015 14:20,28.05
22/12/2015 14:25,27.7
22/12/2015 14:30,27.85
22/12/2015 14:35,26.94
22/12/2015 14:40,26.79
22/12/2015 14:45,26.88
22/12/2015 14:50,26.66
22/12/2015 14:55,26.6
22/12/2015 15:00,24.88
22/12/2015 15:05,24.57
22/12/2015 15:10,23.63
22/12/2015 15:15,23.7
22/12/2015 15:20,23.47
22/12/2015 15:25,23.74
22/12/2015 15:30,23.73
22/12/2015 15:35,23.96
22/12/2015 15:40,24.21
22/12/2015 15:45,24.76
22/12/2015 15:50,25.17
22/12/2015 16:00,24.38
22/12/2015 16:05,24.07
22/12/2015 16:10,23.51
22/12/2015 16:15,23.68
22/12/2015 16:20,24.22
22/12/2015 16:25,24.21
22/12/2015 16:30,24.25
22/12/2015 16:35,24.59
22/12/2015 16:40,24.87
22/12/2015 16:45,24.75
22/12/2015 16:50,24.33
22/12/2015 16:55,24.38
22/12/2015 17:00,24.29
22/12/2015 17:05,24.06
22/12/2015 17:10,23.87
22/12/2015 17:15,23.88
22/12/2015 17:20,23.79
22/12/2015 17:25,23.8
22/12/2015 17:30,24.13
22/12/2015 17:35,24.69
22/12/2015 17:40,24.64
22/12/2015 17:45,23.88
22/12/2015 17:50,23.85
22/12/2015 17:55,23.54
22/12/2015 18:00,23.25
22/12/2015 18:05,23.13
22/12/2015 18:10,23.29
22/12/2015 18:15,22.65
22/12/2015 18:20,22.56
22/12/2015 18:25,22.42
22/12/2015 18:30,22.21
22/12/2015 18:35,22.29
22/12/2015 18:40,21.91
22/12/2015 18:45,21.79
22/12/2015 18:50,21.74
22/12/2015 18:55,21.68
22/12/2015 19:00,21.56
22/12/2015 19:05,21.54
22/12/2015 19:10,21.53
22/12/2015 19:15,21.28
22/12/2015 19:20,21.08
22/12/2015 19:25,20.94
22/12/2015 19:30,20.84
22/12/2015 19:35,20.61
22/12/2015 19:40,20.5
22/12/2015 19:45,20.3
22/12/2015 19:50,20.37
22/12/2015 19:55,20.27
22/12/2015 20:00,20.2
22/12/2015 20:05,20.1
22/12/2015 20:10,20.04
22/12/2015 20:15,20.02
22/12/2015 20:20,20.08
22/12/2015 20:25,20.1
22/12/2015 20:30,20.07
22/12/2015 20:35,20.07
22/12/2015 20:40,20.07
22/12/2015 20:45,20.09
22/12/2015 20:50,20.06
22/12/2015 20:55,20.08
22/12/2015 21:00,20.11
22/12/2015 21:05,20.04
22/12/2015 21:10,19.97
22/12/2015 21:15,19.95
22/12/2015 21:20,19.96
22/12/2015 21:25,19.95
22/12/2015 21:30,19.96
22/12/2015 21:35,20
22/12/2015 21:40,19.98
22/12/2015 21:45,20.06
22/12/2015 21:50,20.05
22/12/2015 21:55,19.96
22/12/2015 22:00,19.97
22/12/2015 22:05,19.91
22/12/2015 22:10,19.89
22/12/2015 22:15,19.87
22/12/2015 22:20,19.99
22/12/2015 22:25,19.99
22/12/2015 22:30,20.03
22/12/2015 22:35,20
22/12/2015 22:40,19.93
22/12/2015 22:45,19.83
22/12/2015 22:50,19.89
22/12/2015 22:55,19.88
22/12/2015 23:00,19.97
22/12/2015 23:05,20.02
22/12/2015 23:10,20.07
22/12/2015 23:15,20.12
22/12/2015 23:20,20.14
22/12/2015 23:25,20.06
22/12/2015 23:30,20.1
