uniq_ID,sensorID,sensor_type,planting_year,experiment_name,treatment,location,plot_no,temp_exp_no,temp_trt_no,temp_rep_no,row_configuration,planting_date_doy,variety,nation,climate_file_name,irrigation_type,lint_yield_kg_per_ha,fibre_length_mm,micronaire,fibre_strength_g-tex,first_flower_doy,maturity_time_das_60%,irrigation_date_1,irrigation_date_2,irrigation_date_3,irrigation_date_4,irrigation_date_5,irrigation_date_6,irrigation_date_7,irrigation_date_8,irrigation_date_9,irrigation_date_10,irrigation_date_11,irrigation_date_12,RawData file,WeatherDataFile,Experiment Name Long,Sensor Unique Identifier,Comment
2015_ACRI_22,22,ARDUcrop,2015,CO2Chambers,,ACRI,4,,,,Solid,329,Sicot 74BRF,Australia,,Furrow,,,,,,,15/01/2016,12/02/2016,26/02/2016,11/03/2016,24/03/2016,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_CO2Chambers,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,CO2Chambers,waterwise.ACRI.2015.CO2Chambers22,
2015_ACRI_101,101,ARDUcrop,2015,CO2Chambers,,ACRI,1,,,,Solid,329,Sicot 74BRF,Australia,,Furrow,,,,,,,15/01/2016,12/02/2016,26/02/2016,11/03/2016,24/03/2016,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_CO2Chambers,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,CO2Chambers,waterwise.ACRI.2015.CO2Chambers101,
2015_ACRI_106,106,ARDUcrop,2015,CO2Chambers,,ACRI,2,,,,Solid,329,Sicot 74BRF,Australia,,Furrow,,,,,,,15/01/2016,12/02/2016,26/02/2016,11/03/2016,24/03/2016,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_CO2Chambers,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,CO2Chambers,waterwise.ACRI.2015.CO2Chambers106,
2015_ACRI_111,111,ARDUcrop,2015,CO2Chambers,,ACRI,3,,,,Solid,329,Sicot 74BRF,Australia,,Furrow,,,,,,,15/01/2016,12/02/2016,26/02/2016,11/03/2016,24/03/2016,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_CO2Chambers,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,CO2Chambers,waterwise.ACRI.2015.CO2Chambers111,
2015_ACRI_140,140,ARDUcrop,2015,CO2Chambers,,ACRI,5,,,,Solid,329,Sicot 74BRF,Australia,,Furrow,,,,,,,15/01/2016,12/02/2016,26/02/2016,11/03/2016,24/03/2016,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_CO2Chambers,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,CO2Chambers,waterwise.ACRI.2015.CO2Chambers140,
2015_ACRI_147,147,ARDUcrop,2015,CO2Chambers,,ACRI,6,,,,Solid,329,Sicot 74BRF,Australia,,Furrow,,,,,,,15/01/2016,12/02/2016,26/02/2016,11/03/2016,24/03/2016,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_CO2Chambers,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,CO2Chambers,waterwise.ACRI.2015.CO2Chambers147,
2015_ACRI_2005,2005,ARDUcrop,2015,DrylandResilience,Control,ACRI,5,,,,Double,289,74BRF,Australia,,Dryland,1187.4325,27.483,4.7,24.6,*,,16/10/2015,3/12/2015,,,,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_DrylandResilience,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,DrylandResilience,waterwise.ACRI.2015.DrylandResilience2005,
2015_ACRI_2006,2006,ARDUcrop,2015,DrylandResilience,Avg,ACRI,9,,,,Double,289,74BRF,Australia,,Dryland,1248.585,28.499,4.7,25.2,*,,16/10/2015,3/12/2015,,,,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_DrylandResilience,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,DrylandResilience,waterwise.ACRI.2015.DrylandResilience2006,
2015_ACRI_2007,2007,ARDUcrop,2015,DrylandResilience,Avg,ACRI,17,,,,Double,289,74BRF,Australia,,Dryland,943.068,29.159,4.1,26.4,*,,16/10/2015,3/12/2015,,,,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_DrylandResilience,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,DrylandResilience,waterwise.ACRI.2015.DrylandResilience2007,
2015_ACRI_2008,2008,ARDUcrop,2015,DrylandResilience,Control,ACRI,21,,,,Double,289,74BRF,Australia,,Dryland,957.1465,29.921,4.2,26.3,*,,16/10/2015,3/12/2015,,,,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_DrylandResilience,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,DrylandResilience,waterwise.ACRI.2015.DrylandResilience2008,
2015_ACRI_2001,2001,ARDUcrop,2015,DrylandResiliencePartIrrigated,Avg,ACRI,5,,,,Double,289,74BRF,Australia,,1 irrigation at Flowering,873.585,29.413,4.1,26.2,*,,16/10/2015,3/12/2015,13/01/2016,,,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_DrylandResiliencePartIrrigated,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,DrylandResiliencePartIrrigated,waterwise.ACRI.2015.DrylandResiliencePartIrrigated2001,
2015_ACRI_2002,2002,ARDUcrop,2015,DrylandResiliencePartIrrigated,Avg,ACRI,7,,,,Double,289,74BRF,Australia,,1 irrigation at Flowering,1177.527,30.099,4.0,26.4,*,,16/10/2015,3/12/2015,13/01/2016,,,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_DrylandResiliencePartIrrigated,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,DrylandResiliencePartIrrigated,waterwise.ACRI.2015.DrylandResiliencePartIrrigated2002,
2015_ACRI_2003,2003,ARDUcrop,2015,DrylandResiliencePartIrrigated,Control,ACRI,19,,,,Double,289,74BRF,Australia,,1 irrigation at Flowering,1109.0625,29.108,4.3,25.7,*,,16/10/2015,3/12/2015,13/01/2016,,,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_DrylandResiliencePartIrrigated,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,DrylandResiliencePartIrrigated,waterwise.ACRI.2015.DrylandResiliencePartIrrigated2003,
2015_ACRI_2004,2004,ARDUcrop,2015,DrylandResiliencePartIrrigated,Control,ACRI,28,,,,Double,289,74BRF,Australia,,1 irrigation at Flowering,1093.469,27.965,4.6,25.0,*,,16/10/2015,3/12/2015,13/01/2016,,,,,,,,,,\\Definative_cT_Raw\2015\ACRI\2015_DrylandResiliencePartIrrigated,\\Definative_cT_Raw\Weather_by_Locality\ACRI_Hourly2001_2017.xlsx,DrylandResiliencePartIrrigated,waterwise.ACRI.2015.DrylandResiliencePartIrrigated2004,
